"Supplied Name","guid","scientificName","family","kingdom","vernacular name","status code","status"
"Calothamnus pachystachyus","https://id.biodiversity.org.au/taxon/apni/51289132","Calothamnus pachystachyus","Myrtaceae",,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Desmodium pullenii","https://id.biodiversity.org.au/node/apni/2901327","Desmodium pullenii","Fabaceae",,,"P1","Priority 1: Poorly-known species"
"Acacia parkerae","https://id.biodiversity.org.au/taxon/apni/51285966","Acacia parkerae","Fabaceae",,,"P3","Priority 3: Poorly-known species"
"Pimelea rosea subsp. annelsii","https://id.biodiversity.org.au/node/apni/2897043","Pimelea rosea subsp. annelsii","Thymelaeaceae",,,"P3","Priority 3: Poorly-known species"
"Stenanthemum sublineare","https://id.biodiversity.org.au/node/apni/2914585","Stenanthemum sublineare","Rhamnaceae",,,"P2","Priority 2: Poorly-known species"
"Eucalyptus suberea","https://id.biodiversity.org.au/node/apni/2907540","Eucalyptus suberea","Myrtaceae",,,"VU","Vulnerable"
"Stylidium torticarpum","https://id.biodiversity.org.au/node/apni/2904595","Stylidium torticarpum","Stylidiaceae",,,"P3","Priority 3: Poorly-known species"
"Scaevola sp. Cockburn Range (G.W. Carr 3369 & A.C. Beauglehole 47147)","https://id.biodiversity.org.au/node/apni/2886589","Scaevola sp. Cockburn Range (G.W.Carr 3369 & A.C.Beauglehole 47147)","Goodeniaceae",,,"P1","Priority 1: Poorly-known species"
"Gastrolobium lehmannii","https://id.biodiversity.org.au/node/apni/2903725","Gastrolobium lehmannii","Fabaceae",,,"VU","Vulnerable"
"Geotria australis","urn:lsid:biodiversity.org.au:afd.taxon:5093c51f-d856-459c-ac0b-bd72f39eeaca","Geotria australis","Geotriidae",,"Pouched Lamprey","P1","Priority 1: Poorly-known species"
"Eucalyptus blaxellii","https://id.biodiversity.org.au/node/apni/2896739","Eucalyptus blaxellii","Myrtaceae",,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Acacia obesa","https://id.biodiversity.org.au/node/apni/2907245","Acacia obesa","Fabaceae",,,"P3","Priority 3: Poorly-known species"
"Boronia barrettiorum","https://id.biodiversity.org.au/node/apni/2912681","Boronia barrettiorum","Rutaceae",,,"P2","Priority 2: Poorly-known species"
"Chamelaucium sp. Yuna (A.C. Burns 53)","https://id.biodiversity.org.au/node/apni/2907184","Chamelaucium sp. Yuna (A.C.Burns 53)","Myrtaceae",,,"P2","Priority 2: Poorly-known species"
