"Supplied Name","guid","scientificName","family","kingdom","Taxon Id","Kingdom2","Class","Family2","scientificNameAuthorship","vernacular name"
"Diplocaulobium stelliferum","ALA_Diplocaulobium_stelliferum","Diplocaulobium stelliferum","Orchidaceae",,"29274","plants","Equisetopsida","Orchidaceae","(J.J.Sm.) A.D.Hawkes",
"Pterostylis revoluta","https://id.biodiversity.org.au/name/apni/75521","Pterostylis revoluta","Orchidaceae",,"16348","plants","Equisetopsida","Orchidaceae","R.Br.","autumn greenhood"
"Eulophia pelorica","https://id.biodiversity.org.au/name/apni/189022","Eulophia pelorica","Orchidaceae",,"30810","plants","Equisetopsida","Orchidaceae","D.L.Jones & M.A.Clem.",
"Cadetia wariana","https://id.biodiversity.org.au/name/apni/89540","Cadetia wariana","Orchidaceae",,"13493","plants","Equisetopsida","Orchidaceae","Schltr.",
"Cestichis bracteata","https://id.biodiversity.org.au/name/apni/196162","Cestichis bracteata","Orchidaceae",,"36437","plants","Equisetopsida","Orchidaceae","(T.E.Hunt) M.A.Clem. & D.L.Jones",
"Dendrobium aphyllum","https://id.biodiversity.org.au/name/apni/188902","Dendrobium aphyllum","Orchidaceae",,"30798","plants","Equisetopsida","Orchidaceae","(Roxb.) C.E.C.Fisch.",
"Pterostylis anatona","https://id.biodiversity.org.au/name/apni/178869","Pterostylis anatona","Orchidaceae",,"18886","plants","Equisetopsida","Orchidaceae","D.L.Jones",
"Caladenia flaccida","https://id.biodiversity.org.au/name/apni/117365","Caladenia flaccida","Orchidaceae",,"7977","plants","Equisetopsida","Orchidaceae","D.L.Jones",
"Pterostylis cobarensis","https://id.biodiversity.org.au/node/apni/2907982","Pterostylis cobarensis","Orchidaceae",,"18443","plants","Equisetopsida","Orchidaceae","M.A.Clem.",
"Pterostylis grandiflora","https://id.biodiversity.org.au/name/apni/74758","Pterostylis grandiflora","Orchidaceae",,"12694","plants","Equisetopsida","Orchidaceae","R.Br.",
"Poephila cincta cincta","urn:lsid:biodiversity.org.au:afd.taxon:faee12dd-a9a7-4e70-8ce3-2d07ba4f397d","Poephila (Poephila) cincta cincta","Estrildidae",,"1365","animals","birds","Estrildidae","Gould, 1837","black-throated finch (white-rumped subspecies)"
"Taeniophyllum wilkianum","ALA_Taeniophyllum_wilkianum","Taeniophyllum wilkianum",,,"39913","plants","Equisetopsida","Orchidaceae",,
"Diuris luteola","https://id.biodiversity.org.au/name/apni/117440","Diuris luteola","Orchidaceae",,"7945","plants","Equisetopsida","Orchidaceae","D.L.Jones & B.Gray","northern yellow donkeys tails"
"Dendrobium strianopsis","ALA_Dendrobium_strianopsis","Dendrobium strianopsis",,,"39205","plants","Equisetopsida","Orchidaceae","M.A.Clem. & D.L.Jones",
"Eriochilus cucullatus","https://id.biodiversity.org.au/name/apni/9878300","Eriochilus cucculatus","Orchidaceae",,"13952","plants","Equisetopsida","Orchidaceae","(Labill.) Rchb.f.",
"Dendrobium speciosum subsp. hillii","https://id.biodiversity.org.au/name/apni/177221","Dendrobium speciosum subsp. hillii","Orchidaceae",,"12829","plants","Equisetopsida","Orchidaceae","(Mast.) D.P.Banks & Clemesha",
"Bulbophyllum wilkianum","https://id.biodiversity.org.au/name/apni/69810","Bulbophyllum wilkianum","Orchidaceae",,"8205","plants","Equisetopsida","Orchidaceae","T.E.Hunt",
"Diuris x palachila","https://id.biodiversity.org.au/name/apni/95845","Diuris x palachila","Orchidaceae",,"12796","plants","Equisetopsida","Orchidaceae","R.S.Rogers",
"Aponogeton queenslandicus","https://id.biodiversity.org.au/node/apni/2901053","Aponogeton queenslandicus","Aponogetonaceae",,"11267","plants","Equisetopsida","Aponogetonaceae","H.Bruggen",
"Flickingeria","https://id.biodiversity.org.au/node/apni/2900434","Flickingeria","Orchidaceae",,"20729","plants","Equisetopsida","Orchidaceae",,
"Thelymitra nuda","https://id.biodiversity.org.au/name/apni/116042","Thelymitra nuda","Orchidaceae",,"13081","plants","Equisetopsida","Orchidaceae","R.Br.","scented sun orchid"
"Stiphodon pelewensis","urn:lsid:biodiversity.org.au:afd.taxon:2144eb13-3ba3-490d-bc97-bbc0f052fde2","Stiphodon pelewensis","Gobiidae",,"32228","animals","ray-finned fishes","Gobiidae","Herre, 1936",
"Acianthus borealis","https://id.biodiversity.org.au/name/apni/117328","Acianthus borealis","Orchidaceae",,"7974","plants","Equisetopsida","Orchidaceae","D.L.Jones",
"Plectorrhiza","https://id.biodiversity.org.au/node/apni/2910422","Plectorrhiza","Orchidaceae",,"6663","plants","Equisetopsida","Orchidaceae",,
"Petalura ingentissima","urn:lsid:biodiversity.org.au:afd.taxon:cfeda8ec-73fa-4bff-8822-7b097a0a3a82","Petalura ingentissima","Petaluridae",,"35260","animals","insects","Petaluridae","Tillyard, 1908","giant petaltail"
"Dendrobium kingianum subsp. kingianum","https://id.biodiversity.org.au/taxon/apni/51305059","Dendrobium kingianum subsp. kingianum","Orchidaceae",,"14633","plants","Equisetopsida","Orchidaceae","Bidwill ex Lindl.",
"Arthrochilus lavarackianus","https://id.biodiversity.org.au/name/apni/204405","Arthrochilus lavarackiana","Orchidaceae",,"31121","plants","Equisetopsida","Orchidaceae","(D.L.Jones) Lavarack",
"Calochilus cleistanthus","https://id.biodiversity.org.au/name/apni/189016","Calochilus cleistanthus","Orchidaceae",,"30808","plants","Equisetopsida","Orchidaceae","D.L.Jones",
"Stipiturus malachurus","urn:lsid:biodiversity.org.au:afd.taxon:1f13c782-e388-48b4-916c-d1aa2c96af58","Stipiturus malachurus","Maluridae",,"1549","animals","birds","Maluridae","(Shaw, 1798)","southern emu-wren"
