"Supplied Name","guid","scientificName","family","kingdom","family2","genus","order","taxonRank","class"
"Ligusticum dieffenbachii (F.Muell.) Hook.f.","NZOR-6-104538","Aciphylla dieffenbachii","Apiaceae",,"Umbelliferae","Aciphylla","Apiales","species","Magnoliopsida"
"Lagenophora linearis Petrie","NZOR-6-20925","Brachyscome linearis","Asteraceae",,"Compositae","Brachyscome","Asterales","species","Magnoliopsida"
"Pomaderris phylicifolia Lodd. ex Link subsp. phylicifolia","https://id.biodiversity.org.au/node/apni/2891938","Pomaderris phylicifolia subsp. phylicifolia","Rhamnaceae",,"Rhamnaceae","Pomaderris","Rosales","subspecies","Magnoliopsida"
"Loranthus adamsii Cheeseman","NZOR-6-50555","Trilepidea adamsii","Loranthaceae",,"Loranthaceae","Trilepidea","Santalales","species","Magnoliopsida"
"Thelypteris gongylodes sensu Allan","ALA_Thelypteris_gongylodes_sensu_Allan","Thelypteris gongylodes sensu Allan",,,"Thelypteridaceae","Cyclosorus","Polypodiales","species","Polypodiopsida"
"Coprosma acerosa f. brunnea Kirk","NZOR-6-34805","Coprosma brunnea","Rubiaceae",,"Rubiaceae","Coprosma","Gentianales","forma","Magnoliopsida"
"Lepidium banksii var. ovatum Kirk","NZOR-6-22332","Lepidium banksii","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","variety","Magnoliopsida"
"Calochilus herbaceus sensu McCrae","https://id.biodiversity.org.au/name/apni/99032","Calochilus herbaceus","Orchidaceae",,"Orchidaceae","Calochilus","Asparagales","species","Magnoliopsida"
"Gentianella scopulorum Glenny","NZOR-6-130581","Gentianella scopulorum","Gentianaceae",,"Gentianaceae","Gentianella","Gentianales","species","Magnoliopsida"
"Montia drucei (Heenan) Heenan","NZOR-6-98602","Montia drucei","Portulacaceae",,"Portulacaceae","Montia","Caryophyllales","species","Magnoliopsida"
"Ophioglossum vulgatum var. costatum (R.Br.) Hook.f.","https://id.biodiversity.org.au/name/apni/115527","Ophioglossum vulgatum var. costatum","Ophioglossaceae",,"Ophioglossaceae","Ophioglossum","Ophioglossales","variety","Psilotopsida"
"Osmunda lunaria L.","https://id.biodiversity.org.au/node/apni/2907253","Botrychium lunaria","Ophioglossaceae",,"Ophioglossaceae","Botrychium","Ophioglossales","species","Psilotopsida"
