"Supplied Name","guid","scientificName","family","kingdom","vernacular name","family","TSC Status","TSC Status Description","taxonRemarks","Reason","category","generalisation"
"Pultenaea sp. Genowlan Point (NSW 417813) ","https://id.biodiversity.org.au/node/apni/2891788","Pultenaea sp. Genowlan Point (NSW 417813)","Fabaceae",,,"Fabaceae","E4A","Critically Endangered",,"Risk of disturbance","3","1km"
"Caladenia arenaria Fitzg. ","https://id.biodiversity.org.au/node/apni/2910924","Caladenia arenaria","Orchidaceae",,"Sand-hill Spider Orchid","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Prasophyllum retroflexum D.L. Jones","https://id.biodiversity.org.au/name/apni/163861","Prasophyllum retroflexum","Orchidaceae",,"Kiandra Leek Orchid","Orchidaceae","V","Vulnerable",,"Risk of disturbance and collection","2","10km"
"Prasophyllum affine Lindl.","https://id.biodiversity.org.au/node/apni/2901813","Prasophyllum affine","Orchidaceae",,"Jervis Bay Leek Orchid","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Elaeocarpus williamsianus Guymer ","https://id.biodiversity.org.au/node/apni/2906669","Elaeocarpus williamsianus","Elaeocarpaceae",,"Hairy Quandong","Elaeocarpaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Typhonium sp. aff. brownii (A.G.Floyd 11/3/1958 North Coast Regional Botanic Garden herbarium 585) ","ALA_Typhonium_sp_aff_brownii_A_G_Floyd_11_3_1958_North_Coast_Regional_Botanic_Garden_herbarium_585","Typhonium sp. aff. brownii (A.G.Floyd 11/3/1958 North Coast Regional Botanic Garden herbarium 585)",,,,"Araceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Prasophyllum petilum D.L. Jones & R.J. Bates","https://id.biodiversity.org.au/node/apni/2899002","Prasophyllum petilum","Orchidaceae",,"Tarengo Leek Orchid","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Lindsaea incisa Prent. ","https://id.biodiversity.org.au/node/apni/2892259","Lindsaea incisa","Lindsaeaceae",,"Slender Screw Fern","Lindsaeaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Lastreopsis hispida (Sw.) Tind. ","https://id.biodiversity.org.au/node/apni/2907135","Lastreopsis hispida","Dryopteridaceae",,"Bristly Shield Fern","Dryopteridaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Mixophyes fleayi","urn:lsid:biodiversity.org.au:afd.taxon:289e1b7c-1323-473a-8c2b-a674324c102e","Mixophyes fleayi","Myobatrachidae",,,"Myobatrachidae","E1","Endangered",,"Risk of collection and disease","2","10km"
"Polytelis anthopeplus monarchoides","urn:lsid:biodiversity.org.au:afd.taxon:5ba0d9f3-fa07-4577-8ada-a7e3a51b2792","Polytelis anthopeplus monarchoides","Psittacidae",,"Regent Parrot (eastern subsp.)","Psittacidae","E1","Endangered",,"Risk of egg collection and nest disturbance","3","1km"
"Erythrotriorchis radiatus","urn:lsid:biodiversity.org.au:afd.taxon:1405a1d4-557c-40ac-9f44-a6d41e9136cd","Erythrotriorchis radiatus","Accipitridae",,,"Accipitridae","E4A","Critically Endangered",,"Risk of egg collection and nest disturbance","2","10km"
"Genoplesium littorale D.L.Jones","https://id.biodiversity.org.au/name/apni/167947","Genoplesium littorale","Orchidaceae",,"Tuncurry Midge Orchid","Orchidaceae","E4A","Critically Endangered",,"Risk of illegal collection","2","10km"
"Zieria buxijugum J.D.Briggs & J.A.Armstr.","https://id.biodiversity.org.au/node/apni/2905774","Zieria buxijugum","Rutaceae",,"Box Range Zieria","Rutaceae","E4A","Critically Endangered",,"Risk of illegal collection","2","10km"
"Philoria richmondensis ","urn:lsid:biodiversity.org.au:afd.taxon:df58b980-3068-4491-81d5-74a6512047cf","Philoria richmondensis","Limnodynastidae",,,"Myobatrachidae","E1","Endangered",,"Risk of collection and disease","2","10km"
"Davidsonia jerseyana (F.Muell. ex F.M.Bailey) G. Harden & J.B. Williams","https://id.biodiversity.org.au/node/apni/2918807","Davidsonia jerseyana","Cunoniaceae",,"Davidson's Plum","Davidsoniaceae","E1","Endangered",,"Risk of disturbance","2","10km"
"Angiopteris evecta Hoffm. ","https://id.biodiversity.org.au/taxon/apni/51299822","Angiopteris evecta","Marattiaceae",,,"Marattiaceae","E1","Endangered",,"Risk of disturbance","2","10km"
"Diuris aequalis F. Muell. ex Fitzg. ","https://id.biodiversity.org.au/node/apni/2896378","Diuris aequalis","Orchidaceae",,"Buttercup Doubletail","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Pterostylis cucullata R. Br. ","https://id.biodiversity.org.au/node/apni/2919373","Pterostylis cucullata","Orchidaceae",,"Leafy Greenhood","Orchidaceae","V","Vulnerable",,"Risk of disturbance and collection","2","10km"
"Prasophyllum sp. Majors Creek (Jones 11084)","https://id.biodiversity.org.au/name/apni/50884923","Prasophyllum sp. Majors Creek (Jones 11084)","Orchidaceae",,,"Orchidaceae","E4A","Critically Endangered",,"Risk of disturbance and collection","2","10km"
"Microtis angusii D.L. Jones","https://id.biodiversity.org.au/node/apni/2909333","Microtis angusii","Orchidaceae",,"Angus's Onion Orchid","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Drynaria rigidula (Sw.) Beddome ","https://id.biodiversity.org.au/node/apni/2904164","Drynaria rigidula","Polypodiaceae",,"Basket Fern","Polypodiaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Zieria formosa J.D.Briggs & J.A.Armstr.","https://id.biodiversity.org.au/node/apni/2911487","Zieria formosa","Rutaceae",,"Shapely Zieria","Rutaceae","E4A","Critically Endangered",,"Risk of illegal collection","2","10km"
"Ninox strenua","urn:lsid:biodiversity.org.au:afd.taxon:c303a58c-ffb9-4bf6-a71b-5e22299c5ee2","Ninox (Rhabdoglaux) strenua","Strigidae",,,"Strigidae","V","Vulnerable",,"Risk of egg collection and nest disturbance","3","1km"
"Pterostylis bicornis D.L.Jones & M.A.Clem.","https://id.biodiversity.org.au/taxon/apni/51316867","Pterostylis bicornis","Orchidaceae",,,"Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Nurus brevis","urn:lsid:biodiversity.org.au:afd.taxon:0d3d070c-220f-4611-92ab-9d3c06851145","Nurus brevis","Carabidae",,"Shorter Rainforest Ground-beetle","Carabidae","E1","Endangered",,"Risk of collection and disturbance","3","1km"
