"Supplied Name","guid","scientificName","family","kingdom","Grouping","SPECIESTYPE","NSXCODE","vernacular name","Clarifier","Threaten a species/environment;","Reason","Threaten someones privacy;"
"Prasophyllum catenemum","https://id.biodiversity.org.au/name/apni/205752","Prasophyllum catenemum","Orchidaceae",,"Orchids","P","S06289","West Coast Leek-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Thelymitra hygrophila","https://id.biodiversity.org.au/name/apni/230259","Thelymitra hygrophila","Orchidaceae",,"Orchids","P","Q32208","Blue Star Sun-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Prasophyllum frenchii","https://id.biodiversity.org.au/node/apni/2888498","Prasophyllum frenchii","Orchidaceae",,"Orchids","P","S06069","Maroon Leek-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Calyptorhynchus funereus","urn:lsid:biodiversity.org.au:afd.taxon:72ca8d75-71da-4751-a5cf-aa07ac3869f7","Calyptorhynchus (Zanda) funereus","Cacatuidae",,"Cockatoos","B","G00267","Yellow-tailed Black Cockatoo","All known nest hollows and artificial nest boxes.","y","some associated subspecies records are sensitive",
"Pterostylis mirabilis","https://id.biodiversity.org.au/node/apni/2914751","Pterostylis mirabilis","Orchidaceae",,"Orchids","P","K04405","Mount Olinthus Greenhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Dipodium campanulatum","https://id.biodiversity.org.au/name/apni/117414","Dipodium campanulatum","Orchidaceae",,"Orchids","P","M05178","Bell-flower Hyacinth-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Dianella porracea","https://id.biodiversity.org.au/node/apni/2913090","Dianella porracea","Hemerocallidaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","E04826","Pale Flax-lily","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Ixodia achillaeoides ssp. arenicola","ALA_Ixodia_achillaeoides_ssp_arenicola","Ixodia achillaeoides ssp. arenicola",,,"Garden Trade -Other Ornamental Horticulture plants","P","A03564","Sand Ixodia","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Swainsona procumbens","https://id.biodiversity.org.au/node/apni/2907326","Swainsona procumbens","Fabaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","K01801","Broughton Pea","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Caladenia fulva","https://id.biodiversity.org.au/node/apni/2917537","Caladenia fulva","Orchidaceae",,"Orchids","P","C05165","Tawny Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Corybas dentatus","https://id.biodiversity.org.au/node/apni/2897379","Corybas dentatus","Orchidaceae",,"Orchids","P","G06267","Finniss Helmet-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Gentianella gunniana","https://id.biodiversity.org.au/node/apni/2908181","Gentianella gunniana","Gentianaceae",,"Aquatics","P","C02473","Mountain Gentian","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Caladenia rigida","https://id.biodiversity.org.au/node/apni/2914821","Caladenia rigida","Orchidaceae",,"Orchids","P","S00781","Stiff White Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Diuris brevifolia","https://id.biodiversity.org.au/name/apni/78835","Diuris brevifolia","Orchidaceae",,"Orchids","P","W03951","Short-leaf Donkey-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
